age_group,demography,food_security_status,food_security_numeric,poverty_indicator,family_income,state,person_supplement_weight
(0-17),Children,Food Secure,1,0,"$150,000 or more",New Jersey,722220.56
(0-17),Children,Food Secure,1,0,"$150,000 or more",New Mexico,44456.57
(0-17),Children,Food Secure,1,0,"$150,000 or more",New York,927200.87
(0-17),Children,Food Secure,1,0,"$150,000 or more",North Carolina,397928.25
(0-17),Children,Food Secure,1,0,"$150,000 or more",North Dakota,44366.74
(0-17),Children,Food Secure,1,0,"$150,000 or more",Ohio,575918.11
(0-17),Children,Food Secure,1,0,"$150,000 or more",Oklahoma,112524.13
(0-17),Children,Food Secure,1,0,"$150,000 or more",Oregon,204452.56
(0-17),Children,Food Secure,1,0,"$150,000 or more",Pennsylvania,530852.99
(0-17),Children,Food Secure,1,0,"$150,000 or more",Rhode Island,73679.11
(0-17),Children,Food Secure,1,0,"$150,000 or more",South Carolina,124848.07
(0-17),Children,Food Secure,1,0,"$150,000 or more",South Dakota,41418.33
(0-17),Children,Food Secure,1,0,"$150,000 or more",Tennessee,321832.49
(0-17),Children,Food Secure,1,0,"$150,000 or more",Texas,1234137.62
(0-17),Children,Food Secure,1,0,"$150,000 or more",Utah,177607.7
(0-17),Children,Food Secure,1,0,"$150,000 or more",Vermont,25592.09
(0-17),Children,Food Secure,1,0,"$150,000 or more",Virginia,682876.99
(0-17),Children,Food Secure,1,0,"$150,000 or more",Washington,406306.73
(0-17),Children,Food Secure,1,0,"$150,000 or more",West Virginia,35230.54
(0-17),Children,Food Secure,1,0,"$150,000 or more",Wisconsin,274253.58
(0-17),Children,Food Secure,1,0,"$150,000 or more",Wyoming,10450.5
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",Alabama,38775.17
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",Alaska,6135.71
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",Arizona,18111.75
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",Arkansas,19955.43
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",California,133098.72
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",Colorado,16356.6
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",Delaware,4099.56
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",District of Columbia,1117.08
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",Florida,81293.21
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",Georgia,70642.41
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",Hawaii,2454.1
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",Idaho,21462.87
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",Illinois,23153.93
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",Indiana,106508.11
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",Iowa,20710.76
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",Kansas,21250.14
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",Kentucky,4460.49
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",Louisiana,4050.14
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",Maine,2417.79
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",Maryland,16782.91
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",Massachusetts,37183.75
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",Michigan,47982.89
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",Mississippi,43719.99
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",Missouri,8535.76
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",Montana,6394.74
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",Nevada,6302.96
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",New Hampshire,10181.51
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",New Jersey,54987.85
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",New Mexico,7625.64
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",New York,17271.14
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",North Carolina,171268.64
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",North Dakota,516.37
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",Ohio,9918.35
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",Oklahoma,8860.36
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",Oregon,17586.5
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",Pennsylvania,27219.24
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",Rhode Island,2024.34
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",South Carolina,33658.06
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",South Dakota,4686.28
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",Tennessee,63157.2
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",Texas,103216.95
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",Utah,21920.68
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",Vermont,6279.14
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",Virginia,9471.14
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",Washington,18267.88
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",West Virginia,3413.06
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",Wisconsin,18833.83
(0-17),Children,Food Secure,1,0,"$40,000 to $49,999",Wyoming,6412.93
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Alabama,71754.57
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Alaska,3125.25
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Arizona,41671.14
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Arkansas,12728.79
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",California,141237.99
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Connecticut,17168.37
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Delaware,3654.83
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",District of Columbia,2050.12
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Florida,197692.78
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Georgia,88774.02
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Hawaii,9081.98
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Idaho,6530.17
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Illinois,17298.04
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Indiana,63853.59
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Iowa,10055.96
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Kansas,15960.67
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Kentucky,20780.84
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Louisiana,30974.26
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Maine,7765.67
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Maryland,49324.15
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Massachusetts,31566.12
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Michigan,16946.83
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Minnesota,30486.21
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Mississippi,26981.86
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Missouri,33106.4
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Montana,7963.06
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Nebraska,9633.04
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Nevada,32208.71
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",New Hampshire,1100.6
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",New Jersey,15119.74
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",New Mexico,18923.53
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",New York,88522.94
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",North Carolina,46724.62
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",North Dakota,4461.8
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Ohio,48256.96
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Oklahoma,22595.28
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Oregon,27433.33
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Pennsylvania,83019.85
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Rhode Island,4740.88
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",South Carolina,60141.93
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",South Dakota,8632.47
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Tennessee,89762.94
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Texas,174184.63
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Utah,29290.08
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Vermont,1427.27
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Virginia,33241.29
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Washington,4347.58
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",West Virginia,17234.05
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Wisconsin,20211.26
(0-17),Children,Food Secure,1,0,"$50,000 to $59,999",Wyoming,5467.82
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Alabama,37498.3
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Alaska,19313.52
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Arizona,71232.8
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Arkansas,40486.71
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",California,308778.38
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Colorado,12466.18
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Connecticut,21162.53
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Delaware,9296.42
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",District of Columbia,5949.92
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Florida,319527.01
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Georgia,243697.02
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Hawaii,13707.69
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Idaho,32625.42
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Illinois,85416.29
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Indiana,77457.95
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Iowa,44895.59
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Kansas,40389.6
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Kentucky,55896.85
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Louisiana,42767.69
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Maryland,42905.94
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Massachusetts,15014.89
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Michigan,82251.83
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Minnesota,44253.18
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Mississippi,10285.11
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Missouri,119550.73
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Montana,13220.06
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Nebraska,2539.35
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Nevada,35347.55
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",New Hampshire,3651.69
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",New Jersey,72870.86
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",New Mexico,19986.51
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",New York,93098.4
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",North Carolina,160613.43
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",North Dakota,4594.25
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Ohio,116558.83
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Oklahoma,35453.12
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Oregon,24713
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Pennsylvania,108252.29
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Rhode Island,1635.36
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",South Carolina,55538.9
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",South Dakota,21351.94
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Tennessee,108248.2
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Texas,377479.35
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Utah,48738.7
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Vermont,4640.38
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Virginia,71489.16
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Washington,82704.63
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",West Virginia,15526.75
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Wisconsin,81576.46
(0-17),Children,Food Secure,1,0,"$60,000 to $74,999",Wyoming,13576.64
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Alabama,198475.11
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Alaska,10643.36
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Arizona,122411.51
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Arkansas,62918.58
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",California,581626.22
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Colorado,77974.75
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Connecticut,42240.26
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Delaware,13248.33
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",District of Columbia,5275.82
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Florida,588790.96
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Georgia,172554.92
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Hawaii,19237.66
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Idaho,66957.55
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Illinois,189345.79
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Indiana,182816.45
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Iowa,55770.96
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Kansas,52050.47
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Kentucky,77014.5
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Louisiana,73820.74
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Maine,36253.38
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Maryland,96512.35
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Massachusetts,69249.69
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Michigan,144190.59
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Minnesota,130313.21
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Mississippi,63049
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Missouri,147831.46
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Montana,20284.75
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Nebraska,56688.36
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Nevada,42335.91
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",New Hampshire,8481.09
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",New Jersey,154810.87
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",New Mexico,25368.1
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",New York,242608.19
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",North Carolina,220544.34
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",North Dakota,10455.28
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Ohio,215080.62
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Oklahoma,58029.48
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Oregon,34142.94
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Pennsylvania,183331.28
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Rhode Island,35306.34
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",South Carolina,113105.61
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",South Dakota,32904.55
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Tennessee,85134.19
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Texas,480733.67
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Utah,103870.77
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Vermont,27753.41
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Virginia,141679.91
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Washington,111008.07
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",West Virginia,26119.88
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Wisconsin,144640.18
(0-17),Children,Food Secure,1,0,"$75,000 to $99,999",Wyoming,17730.81
(0-17),Children,Food Secure,1,1,"$10,000 to $12,499",Alabama,5553.08
(0-17),Children,Food Secure,1,1,"$10,000 to $12,499",Arizona,24598.23
(0-17),Children,Food Secure,1,1,"$10,000 to $12,499",Arkansas,17403.89
(0-17),Children,Food Secure,1,1,"$10,000 to $12,499",California,32453.26
(0-17),Children,Food Secure,1,1,"$10,000 to $12,499",Colorado,17533.16
(0-17),Children,Food Secure,1,1,"$10,000 to $12,499",Delaware,1464.05
(0-17),Children,Food Secure,1,1,"$10,000 to $12,499",Florida,28158.58
(0-17),Children,Food Secure,1,1,"$10,000 to $12,499",Illinois,9068.33
(0-17),Children,Food Secure,1,1,"$10,000 to $12,499",Kentucky,26841.92
(0-17),Children,Food Secure,1,1,"$10,000 to $12,499",Louisiana,43943.2
(0-17),Children,Food Secure,1,1,"$10,000 to $12,499",Maryland,3616.5
(0-17),Children,Food Secure,1,1,"$10,000 to $12,499",Michigan,4082.16
(0-17),Children,Food Secure,1,1,"$10,000 to $12,499",Minnesota,6779.7
(0-17),Children,Food Secure,1,1,"$10,000 to $12,499",Mississippi,28303.42
(0-17),Children,Food Secure,1,1,"$10,000 to $12,499",Montana,1213.2
(0-17),Children,Food Secure,1,1,"$10,000 to $12,499",Nebraska,1735.08
(0-17),Children,Food Secure,1,1,"$10,000 to $12,499",Nevada,2230.81
(0-17),Children,Food Secure,1,1,"$10,000 to $12,499",New Jersey,5049.09
(0-17),Children,Food Secure,1,1,"$10,000 to $12,499",New Mexico,2491.86
(0-17),Children,Food Secure,1,1,"$10,000 to $12,499",North Carolina,55573.34
(0-17),Children,Food Secure,1,1,"$10,000 to $12,499",North Dakota,1204.59
(0-17),Children,Food Secure,1,1,"$10,000 to $12,499",Ohio,28532.44
(0-17),Children,Food Secure,1,1,"$10,000 to $12,499",Oklahoma,29239.4
(0-17),Children,Food Secure,1,1,"$10,000 to $12,499",South Dakota,3024.01
(0-17),Children,Food Secure,1,1,"$10,000 to $12,499",Tennessee,5186.97
(0-17),Children,Food Secure,1,1,"$10,000 to $12,499",Texas,29873.33
(0-17),Children,Food Secure,1,1,"$10,000 to $12,499",Utah,5584.93
(0-17),Children,Food Secure,1,1,"$10,000 to $12,499",Virginia,11761.49
(0-17),Children,Food Secure,1,1,"$10,000 to $12,499",West Virginia,7209.17
(0-17),Children,Food Secure,1,1,"$100,000 to $149,999",Alabama,5512
(0-17),Children,Food Secure,1,1,"$100,000 to $149,999",Alaska,2317.88
(0-17),Children,Food Secure,1,1,"$100,000 to $149,999",California,188370.8
(0-17),Children,Food Secure,1,1,"$100,000 to $149,999",Colorado,36352.65
(0-17),Children,Food Secure,1,1,"$100,000 to $149,999",Connecticut,18000.02
(0-17),Children,Food Secure,1,1,"$100,000 to $149,999",Delaware,12580.85
(0-17),Children,Food Secure,1,1,"$100,000 to $149,999",District of Columbia,4114.81
(0-17),Children,Food Secure,1,1,"$100,000 to $149,999",Florida,75469
(0-17),Children,Food Secure,1,1,"$100,000 to $149,999",Georgia,49127.56
(0-17),Children,Food Secure,1,1,"$100,000 to $149,999",Hawaii,2503.52
(0-17),Children,Food Secure,1,1,"$100,000 to $149,999",Illinois,25037.1
(0-17),Children,Food Secure,1,1,"$100,000 to $149,999",Indiana,39517.76
(0-17),Children,Food Secure,1,1,"$100,000 to $149,999",Iowa,31254.72
(0-17),Children,Food Secure,1,1,"$100,000 to $149,999",Kansas,15939.68
(0-17),Children,Food Secure,1,1,"$100,000 to $149,999",Kentucky,25561.94
(0-17),Children,Food Secure,1,1,"$100,000 to $149,999",Louisiana,23920.78
(0-17),Children,Food Secure,1,1,"$100,000 to $149,999",Maryland,6392.76
(0-17),Children,Food Secure,1,1,"$100,000 to $149,999",Massachusetts,29947.07
